id_trans,id_wallet,fecha,tipo_operacion,monto,moneda,descripcion
44,11,2023-04-10,venta,755.00,ETH,Laboriosam labore ipsa possimus eum error repellat.
45,50,2022-11-18,venta,3532.39,BTC,Sed officia perspiciatis.
46,9,2023-02-03,staking,2038.59,SOL,Maiores mollitia ex incidunt iure.
47,70,2024-02-12,staking,2079.46,BTC,Delectus odit inventore adipisci nostrum deserunt nihil harum.
48,27,2025-05-22,staking,1947.99,BNB,Dignissimos quibusdam repellat aperiam aut.
49,99,2024-09-04,retiro,4730.36,SOL,Facilis deserunt beatae perferendis.
50,3,2024-06-22,retiro,1902.52,USDT,Vitae et harum hic beatae explicabo itaque.
51,1,2023-02-16,transferencia,1493.76,ETH,Ullam nihil perferendis est dolores.
52,50,2022-11-21,staking,2691.56,BTC,Fuga consequuntur harum nisi.
53,95,2024-11-01,retiro,3999.54,ETH,In laborum modi ullam ut cupiditate.
54,115,2023-02-07,venta,2441.66,SOL,Enim deleniti sapiente nulla sint veritatis laborum.
55,35,2023-03-23,staking,2428.72,SOL,Vitae magnam libero placeat impedit saepe.
56,50,2024-06-21,transferencia,3344.70,BTC,Assumenda adipisci quis eos.
57,103,2023-07-24,staking,3621.18,SOL,Modi cumque itaque quia quisquam.
58,108,2024-09-23,staking,4597.79,BTC,Beatae beatae quod reprehenderit facilis reprehenderit aliquam.
59,80,2024-04-08,retiro,135.81,SOL,Dolor incidunt quasi officiis dolorum soluta adipisci.
60,51,2023-07-06,retiro,2822.40,BTC,Similique assumenda sint blanditiis repellat distinctio.
61,4,2024-11-22,compra,3214.11,ETH,Similique nostrum incidunt nulla quos repellendus.
62,18,2022-08-24,staking,909.46,USDT,Expedita eligendi molestiae eum provident enim eaque.
63,34,2024-07-31,staking,1637.44,SOL,Consequatur quibusdam illum animi.
64,59,2023-07-28,transferencia,1688.17,BNB,Praesentium consequatur corporis eum.
65,113,2023-06-12,staking,1392.00,BTC,Laudantium neque eaque impedit iste odio.
66,107,2022-10-15,staking,1262.11,ETH,Maiores eius vel fuga veniam eveniet.
67,11,2022-05-27,staking,97.90,ETH,Quasi itaque optio facere.
68,70,2022-08-30,compra,4999.54,BTC,Id voluptas repudiandae libero eum eligendi molestias.
69,45,2022-12-12,venta,3251.07,ETH,Sequi ratione tempora quis aliquid numquam saepe.
70,100,2022-06-18,compra,3771.41,ETH,Ut culpa itaque voluptatibus.
71,32,2024-03-18,venta,4196.31,ETH,Voluptatum tenetur sunt error soluta.
72,80,2023-07-23,venta,1193.49,SOL,Omnis dolorum fuga temporibus.
73,61,2023-02-05,compra,2820.28,BNB,Id esse praesentium.
74,28,2023-05-22,staking,3497.63,USDT,Omnis provident a labore consequatur dolorem.
75,99,2025-04-14,transferencia,839.78,SOL,Ab possimus repellendus voluptates in consequatur.
76,78,2022-09-11,compra,3889.18,BNB,Fugit quas aut et sunt.
77,21,2022-12-23,transferencia,541.39,USDT,Quo quidem consequatur voluptatibus consequuntur minus.
78,4,2022-06-06,transferencia,2879.41,ETH,Officiis ipsam quam occaecati corrupti illum placeat similique.
79,117,2022-10-05,staking,1983.88,USDT,Consequuntur commodi quas expedita.
80,92,2024-03-21,venta,380.91,BTC,Ratione dolorum officia dolorum nobis quam.
81,89,2023-08-09,venta,510.40,USDT,Sed omnis error.
82,99,2024-08-05,transferencia,4251.62,SOL,Magni quibusdam eos amet tempore veritatis libero beatae.
83,77,2024-07-08,compra,3981.34,ETH,Architecto suscipit accusamus facere et harum saepe in.
84,73,2024-09-18,compra,1736.67,BTC,Quis veritatis quo accusantium.
85,55,2022-09-05,transferencia,345.71,ETH,Ea aliquam aperiam.
86,83,2024-02-01,transferencia,64.25,USDT,Enim quae quisquam incidunt illo odit modi.
87,54,2023-01-16,staking,528.59,BNB,Assumenda aspernatur ullam voluptate culpa.
88,47,2023-10-13,staking,3536.84,BNB,Nesciunt quis officiis officia est ipsa.
89,56,2023-05-29,venta,3669.24,SOL,Doloribus unde blanditiis nostrum.
90,84,2022-08-17,transferencia,3079.95,SOL,Pariatur omnis cupiditate accusamus consequatur.
91,118,2022-06-10,retiro,3873.43,BNB,Libero expedita maxime reprehenderit.
92,60,2023-06-30,staking,4128.85,BTC,Fuga quibusdam sit quasi.
93,76,2022-11-23,transferencia,1612.20,USDT,Ex inventore minima.
94,32,2023-07-06,compra,1395.36,ETH,Occaecati libero magni animi similique cumque culpa.
95,58,2022-10-30,venta,3752.63,ETH,Perferendis beatae qui a similique accusamus aliquid.
96,73,2023-12-10,retiro,3341.27,BTC,Ullam debitis vero alias rem quae.
97,44,2025-03-07,compra,2472.04,ETH,Dolore dolorum totam eum repudiandae nemo.
98,42,2022-11-25,venta,2438.26,BTC,Perferendis amet dolore maiores aliquid id soluta.
99,46,2023-08-05,transferencia,1702.35,SOL,Eveniet mollitia ab dicta natus.
100,113,2023-09-08,retiro,3506.22,BTC,Doloribus fuga voluptas voluptatum quod quasi molestias recusandae.
101,36,2023-01-12,retiro,51.75,ETH,Ut ad molestiae.
102,25,2025-02-04,compra,1207.54,ETH,Veritatis a omnis.
103,53,2023-09-13,staking,2776.33,ETH,Dignissimos voluptatem in vero.
104,31,2022-12-31,staking,3229.87,BTC,At ullam tempore maxime praesentium.
105,63,2023-12-23,staking,3964.87,SOL,Voluptate assumenda atque consequatur reprehenderit asperiores necessitatibus.
106,12,2024-03-29,transferencia,1108.76,BTC,Dolores ea et reiciendis.
107,89,2025-05-16,venta,1531.72,USDT,Et earum asperiores dicta quod nesciunt.
108,75,2023-01-20,transferencia,2366.83,USDT,Cum iure illo modi.
109,68,2023-04-11,transferencia,2128.09,SOL,Est eaque blanditiis culpa placeat repudiandae possimus.
110,96,2022-07-25,retiro,1654.63,BNB,Saepe eveniet at dolorum explicabo.
111,90,2024-07-29,staking,1355.31,USDT,Perspiciatis ea voluptatibus.
112,33,2022-07-11,venta,604.16,SOL,Sequi nam mollitia atque aut recusandae.
113,25,2022-11-28,transferencia,598.65,ETH,Aperiam quos dolore.
114,69,2023-03-27,venta,958.51,SOL,Fuga occaecati officia neque ea repellat.
115,95,2022-06-26,staking,1383.22,ETH,Deserunt officia repellat at.
116,76,2023-10-21,retiro,2984.36,USDT,Aliquam itaque cumque nemo.
117,13,2024-01-27,venta,1481.94,ETH,Adipisci placeat cupiditate dolor deleniti eius sunt.
118,47,2022-07-16,venta,1512.04,BNB,Nulla doloribus eos illum mollitia aperiam eius consequatur.
119,91,2023-03-29,retiro,633.79,USDT,Dolorum voluptatibus molestiae accusantium fugit quae laboriosam.
120,6,2024-06-14,compra,2767.24,BNB,Totam magnam harum debitis eum dolor.
121,90,2023-08-03,venta,3189.71,USDT,Repellat iusto facere nesciunt.
122,97,2023-05-20,staking,513.84,BTC,Aut omnis eaque repellendus.
123,2,2022-08-18,retiro,1422.41,BTC,Nemo voluptatem harum vel voluptatibus.
124,62,2023-02-17,staking,1704.19,BNB,Dolores et qui facere.
125,7,2024-11-27,transferencia,4705.38,USDT,Provident explicabo necessitatibus.
126,62,2022-12-30,compra,4110.76,BNB,Veniam saepe repellat voluptas molestiae cupiditate alias.
127,52,2022-08-19,staking,371.34,USDT,Nobis accusantium labore ex nostrum.
128,81,2022-12-12,compra,759.48,ETH,Quaerat ullam sapiente eum accusantium nesciunt.
129,104,2022-12-30,retiro,4745.68,ETH,Sed similique vero fuga.
130,11,2025-03-17,venta,593.14,ETH,Nesciunt excepturi eum voluptate quasi ipsa.
131,98,2025-02-10,staking,3031.98,SOL,Officiis cupiditate voluptas possimus ut ratione dolore.
132,102,2024-11-23,retiro,1129.21,ETH,Fugiat quasi eos debitis.
133,67,2022-05-26,staking,2253.12,BTC,Hic voluptatibus vitae adipisci nobis ullam voluptas.
134,57,2023-05-02,transferencia,4300.97,SOL,Aut libero ex aspernatur expedita eum odio.
135,55,2022-10-08,transferencia,2843.58,ETH,Ipsum eaque dolorum architecto ducimus autem.
136,8,2022-05-25,retiro,4800.58,SOL,Harum quasi voluptas.
137,13,2024-02-26,venta,3127.95,ETH,Sunt expedita fugiat repudiandae ratione neque quis.
138,34,2023-05-09,compra,786.13,SOL,Iste reiciendis alias accusantium.
139,23,2023-07-03,retiro,376.25,USDT,Asperiores cumque fugiat quasi.
140,1,2024-09-19,staking,2253.07,ETH,Excepturi voluptates tempora provident.
141,77,2024-03-24,staking,1457.01,ETH,Non ipsa amet ex.
142,30,2023-03-15,transferencia,3535.07,BTC,Possimus quam quas eaque eligendi dolores.
143,90,2022-08-09,staking,356.83,USDT,Nemo saepe corrupti facere incidunt eos.
144,30,2025-03-17,transferencia,3939.35,BTC,Nobis dicta ad cupiditate eos aspernatur sapiente est.
145,81,2024-01-31,retiro,3306.25,ETH,Laudantium optio at molestias delectus suscipit fuga.
146,120,2024-04-15,venta,2126.27,SOL,Ea iure dolorem.
147,70,2023-07-15,venta,3238.53,BTC,Aperiam quibusdam pariatur assumenda exercitationem molestiae voluptas.
148,117,2024-11-25,transferencia,4133.33,USDT,Mollitia sapiente repellendus in modi.
149,10,2024-05-30,compra,830.45,BNB,Sunt labore aspernatur temporibus quaerat magnam tempore.
150,40,2024-10-27,retiro,3745.04,SOL,Corporis veniam ipsum veniam cumque distinctio deserunt aliquam.
151,73,2022-09-22,transferencia,2196.33,BTC,Dicta reprehenderit corporis nisi eum quas.
152,60,2022-09-05,transferencia,3498.97,BTC,Harum id eveniet eius.
153,35,2024-05-04,retiro,2700.37,SOL,Ratione numquam minima.
154,57,2024-03-05,compra,2990.59,SOL,Impedit corporis nihil quis.
155,114,2022-10-26,staking,3672.94,SOL,Natus aut enim modi.
156,78,2023-11-09,transferencia,130.30,BNB,Eaque omnis nemo labore cupiditate illo.
157,30,2025-01-08,retiro,2936.03,BTC,Perspiciatis illo id soluta porro aliquid labore eaque.
158,3,2023-12-23,transferencia,2881.66,USDT,Excepturi recusandae est.
159,98,2024-06-25,venta,2353.03,SOL,Voluptas dolorem error quia.
160,84,2023-10-04,staking,4580.45,SOL,Quas non at ipsam totam.
161,24,2024-02-15,retiro,2179.99,ETH,Quis sint reprehenderit maiores culpa est magni.
162,105,2022-12-20,staking,4845.31,ETH,Sunt adipisci deserunt rerum saepe dolorum itaque.
163,61,2023-12-04,transferencia,2042.33,BNB,Earum reprehenderit magnam odio commodi.
164,42,2022-07-10,compra,4288.81,BTC,Fuga nisi debitis sit nesciunt.
165,43,2023-11-18,staking,3468.67,BTC,Cum tempora quibusdam porro eligendi harum.
166,37,2023-02-01,staking,4068.02,USDT,Quod dolor dolore dolore dignissimos officiis maiores.
167,71,2025-04-17,compra,2274.67,ETH,Labore consequatur cupiditate.
168,41,2022-06-06,transferencia,1617.05,BTC,Dolorum rem esse vitae odit.
169,99,2024-03-12,staking,4324.69,SOL,Sed itaque dolor error maxime numquam.
170,106,2024-11-16,compra,3288.64,USDT,Ab voluptatum vitae saepe.
171,70,2024-10-12,staking,2066.82,BTC,Non error autem aperiam voluptates odit similique ea.
172,25,2025-03-01,retiro,1809.54,ETH,Deleniti maxime dolores animi similique.
173,97,2024-12-11,staking,3127.42,BTC,Optio perspiciatis quam omnis voluptatum ea.
174,98,2024-03-04,compra,1018.59,SOL,Harum alias provident nemo deleniti quas.
175,71,2023-05-04,venta,4638.44,ETH,Odit labore velit facere error cumque omnis.
176,57,2024-10-07,staking,608.01,SOL,Eos iusto qui quam.
177,81,2024-10-08,retiro,3996.77,ETH,Veniam tempore omnis dolore.
178,91,2023-05-05,venta,1554.44,USDT,In suscipit fuga nesciunt iure.
179,2,2022-11-22,retiro,2040.55,BTC,Amet odio neque nulla iusto deserunt blanditiis.
180,29,2025-04-15,compra,2307.78,ETH,Minus impedit sit corrupti voluptatibus exercitationem.
181,16,2024-10-24,venta,2492.38,SOL,Corporis similique debitis aspernatur ex voluptates et.
182,92,2022-08-22,transferencia,2544.85,BTC,Iste distinctio quo.
183,35,2024-11-04,staking,4173.79,SOL,Laudantium quis at nostrum.
184,61,2025-02-01,venta,2284.48,BNB,Illo vitae fugit alias dicta fuga.
185,19,2022-06-14,staking,953.86,BTC,Quidem minus accusantium a quasi dolorem.
186,77,2023-11-09,retiro,3731.72,ETH,Consectetur fugit nihil cumque reprehenderit.
187,18,2023-08-30,compra,1381.96,USDT,Iste maxime minima inventore placeat.
188,102,2022-12-17,staking,1700.04,ETH,Voluptatum laudantium quibusdam cumque tenetur repellat.
189,101,2022-06-22,retiro,1336.60,BTC,Dolore voluptates distinctio accusantium magnam.
190,1,2022-12-01,transferencia,3630.53,ETH,Quae recusandae fugiat odit quo numquam.
191,108,2024-12-01,retiro,2900.04,BTC,Optio officiis accusantium.
192,85,2025-04-29,staking,4326.44,SOL,Impedit fugit molestias labore.
193,58,2023-01-16,retiro,2422.22,ETH,Possimus occaecati error optio optio.
194,43,2023-07-17,retiro,3814.60,BTC,Non consequatur rerum autem quaerat blanditiis beatae autem.
195,49,2023-03-28,staking,4664.33,BNB,Dicta ea minima dicta provident eos aliquam libero.
196,112,2023-04-11,venta,4903.89,ETH,Ex a perferendis tenetur saepe pariatur corrupti.
197,31,2022-10-10,retiro,1915.47,BTC,Asperiores quam temporibus officia itaque voluptate eaque.
198,110,2022-08-09,staking,219.19,BNB,Repellat soluta sequi facere.
199,96,2025-04-09,staking,3526.43,BNB,Incidunt blanditiis sed tempora ab consequuntur.
200,104,2025-02-22,staking,1931.01,ETH,Eveniet tempora veritatis eaque.
